,Description,Label
66,It was regenerated from a dinosaur’s genetic matter that was found in amber. It flies with high-pitched cries.,Aerodactyl
67,"A ferocious, prehistoric POKéMON that goes for the enemy’s throat with its serrated, sawlike fangs.",Aerodactyl
68,AERODACTYL is a POKéMON from the age of dinosaurs. It was regenerated from DNA extracted from amber. It is imagined to have been the king of the skies.,Aerodactyl
69,A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.,Aerodactyl
70,"A vicious Pokémon from the distant past, it appears to have flown by spreading its wings and gliding.",Aerodactyl
71,This vicious Pokémon is said to have flown in ancient skies while shrieking high-pitched cries.,Aerodactyl
72,A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.,Aerodactyl
73,It was regenerated from a dinosaur’s genetic matter that was found in amber. It flies with high-pitched cries.,Aerodactyl
74,This vicious Pokémon is said to have flown in ancient skies while shrieking high-pitched cries.,Aerodactyl
75,Aerodactyl is a Pokémon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.,Aerodactyl
76,A Pokémon from the age of the dinosaurs. It used its sawlike fangs to shred its prey before eating them.,Aerodactyl
77,"In ancient times, it ruled the skies. A widely accepted theory is that it went extinct due to a large meteor impact.",Aerodactyl
78,"Restored from DNA found in amber, this Pokémon exhibited ferocity that was greater than expected. Some casualties resulted.",Aerodactyl
79,"It flew through the open skies over the ancient continent as if they were its own. When it touched ground, its walk was weak and slow.",Aerodactyl
80,A savage Pokémon that died out in ancient times. It was resurrected using DNA taken from amber.,Aerodactyl
81,This is a ferocious Pokémon from ancient times. Apparently even modern technology is incapable of producing a perfectly restored specimen.,Aerodactyl
82,Aerodactyl’s sawlike fangs can shred skin to tatters—even the skin of Steel-type Pokémon.,Aerodactyl
83,It’s a Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.,Aerodactyl
84,"Its brain can outperform a supercomputer. Its intelligence quotient is said to be 5,000.",Alakazam
85,A POKéMON that can memorize anything. It never forgets what it learns--that’s why this POKéMON is smart.,Alakazam
86,Closing both its eyes heightens all its other senses. This enables it to use its abilities to their extremes.,Alakazam
87,"Its brain cells multiply continually until it dies. As a result, it remembers everything.",Alakazam
88,It has an IQ of 5000. It calculates many things in order to gain the edge in every battle.,Alakazam
89,"ALAKAZAM’s brain continually grows, making its head far too heavy to support with its neck. This POKéMON holds its head up using its psychokinetic power instead.",Alakazam
90,"ALAKAZAM’s brain continually grows, infinitely multiplying brain cells. This amazing brain gives this POKéMON an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world.",Alakazam
91,"It does not like physical attacks very much. Instead, it freely uses extrasensory powers to defeat foes.",Alakazam
92,"Its brain can outperform a supercomputer. Its IQ (intelligence quotient) is said to be around 5,000.",Alakazam
93,"While it has strong psychic abilities and high intelligence, an ALAKAZAM’s muscles are very weak. It uses psychic power to move its body.",Alakazam
94,"Its superb memory lets it recall everything it has experienced from birth. Its IQ exceeds 5,000.",Alakazam
95,Its highly developed brain is on par with a supercomputer. It can use all forms of psychic abilities.,Alakazam
96,The spoons clutched in its hands are said to have been created by its psychic powers.,Alakazam
97,Closing both its eyes heightens all its other senses. This enables it to use its abilities to their extremes.,Alakazam
98,"Its brain cells multiply continually until it dies. As a result, it remembers everything.",Alakazam
99,The spoons clutched in its hands are said to have been created by its psychic powers.,Alakazam
100,"Its brain cells multiply continually until it dies. As a result, it remembers everything.",Alakazam
101,"Its brain can outperform a supercomputer. Its IQ (intelligence quotient) is said to be around 5,000.",Alakazam
102,"Alakazam’s brain continually grows, making its head far too heavy to support with its neck. This Pokémon holds its head up using its psychokinetic power instead.",Alakazam
103,"Alakazam’s brain continually grows, infinitely multiplying brain cells. This amazing brain gives this Pokémon an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world.",Alakazam
104,"It is said to have an IQ of approximately 5,000. Its overflowing psychokinetic powers cause headaches to anyone nearby.",Alakazam
105,"Its brain cells continue to increase in number until its death. The older the Alakazam, the larger its head.",Alakazam
106,Alakazam uses its psychic powers to make the spoons it carries. Each spoon is an original that there’s only one of in the whole world.,Alakazam
107,"If it trusts someone deeply, it will let them have one of its spoons. Anything you eat with that spoon is apparently delicious.",Alakazam
108,A Pokémon that can memorize anything. It never forgets what it learns—that’s why this Pokémon is smart.,Alakazam
109,"It has an incredibly high level of intelligence. Some say that Alakazam remembers everything that ever happens to it, from birth till death.",Alakazam
110,Alakazam wields potent psychic powers. It’s said that this Pokémon used these powers to create the spoons it holds.,Alakazam
111,"Its superb memory lets it recall everything it has experienced from birth. Its IQ exceeds 5,000.",Alakazam
112,Its highly developed brain is on par with a supercomputer. It can use all forms of psychic abilities.,Alakazam
113,"The longer Alakazam lives, the larger and heavier its head becomes. Our tests have shown that the strength of its psychic powers correlates positively to the weight of its head.",Alakazam
114,It is rumored that the ferocious warning markings on its belly differ from area to area.,Arbok
115,The frightening patterns on its belly have been studied. Six variations have been confirmed.,Arbok
116,"Transfixing prey with the face-like pattern on its belly, it binds and poisons the frightened victim.",Arbok
117,"With a very vengeful nature, it won’t give up the chase, no matter how far, once it targets its prey.",Arbok
118,"To intimidate foes, it spreads its chest wide and makes eerie sounds by expelling air from its mouth.",Arbok
119,"This POKéMON is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once ARBOK wraps its body around its foe, escaping its crunching embrace is impossible.",Arbok
120,The pattern on its belly appears to be a frightening face. Weak foes will flee just at the sight of the pattern.,Arbok
121,It is rumored that the ferocious warning markings on its belly differ from area to area.,Arbok
122,"This POKéMON has a terrifically strong constricting power. It can even flatten steel oil drums. Once it wraps its body around its foe, escaping is impossible.",Arbok
123,The pattern on its belly is for intimidation. It constricts foes while they are frozen in fear.,Arbok
124,"Transfixing prey with the face-like pattern on its belly, it binds and poisons the frightened victim.",Arbok
125,"With a very vengeful nature, it won’t give up the chase, no matter how far, once it targets its prey.",Arbok
126,The pattern on its belly is for intimidation. It constricts foes while they are frozen in fear.,Arbok
127,The pattern on its belly appears to be a frightening face. Weak foes will flee just at the sight of the pattern.,Arbok
128,"To intimidate foes, it spreads its chest wide and makes eerie sounds by expelling air from its mouth.",Arbok
129,"This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.",Arbok
130,The latest research has determined that there are over 20 possible arrangements of the patterns on its stomach.,Arbok
131,"After stunning its opponents with the pattern on its stomach, it quickly wraps them up in its body and waits for them to stop moving.",Arbok
132,The frightening patterns on its belly have been studied. Six variations have been confirmed.,Arbok
133,The pattern on its belly is for intimidation. It constricts foes while they are frozen in fear.,Arbok
134,A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.,Arcanine
135,A legendary POKéMON in China. Many people are charmed by its grace and beauty while running.,Arcanine
136,This legendary Chinese POKEMON is considered magnificent. Many people are enchanted by its grand mane.,Arcanine
137,Its magnificent bark conveys a sense of majesty. Anyone hearing it can’t help but grovel before it.,Arcanine
138,An ancient picture scroll shows that people were attracted to its movement as it ran through prairies.,Arcanine
139,"ARCANINE is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this POKéMON’s body is its source of power.",Arcanine
140,A POKéMON that is described in Chinese legends. It is said to race at an unbelievable speed.,Arcanine
141,A POKéMON that has long been admired for its beauty. It runs agilely as if on wings.,Arcanine
142,"This fleet-footed POKéMON is said to run over 6,200 miles in a single day and night. The fire that blazes wildly within its body is its source of power.",Arcanine
143,Its proud and regal appearance has captured the hearts of people since long ago.,Arcanine
144,This legendary Chinese Pokémon is considered magnificent. Many people are enchanted by its grand mane.,Arcanine
145,Its magnificent bark conveys a sense of majesty. Anyone hearing it can’t help but grovel before it.,Arcanine
146,Its proud and regal appearance has captured the hearts of people since long ago.,Arcanine
147,"The sight of it running over 6,200 miles in a single day and night has captivated many people.",Arcanine
148,A Pokémon that has long been admired for its beauty. It runs agilely as if on wings.,Arcanine
149,Its magnificent bark conveys a sense of majesty. Anyone hearing it can’t help but grovel before it.,Arcanine
150,"Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon’s body is its source of power.",Arcanine
151,"Overflowing with beauty and majesty, this strong Pokémon appears in ancient Eastern folklore.",Arcanine
152,The fire burning inside its body serves as the energy to fuel it as it runs great distances. It appears in many legends.,Arcanine
153,Legends tell of its fighting alongside a general and conquering a whole country.,Arcanine
154,"There are so many old tales about them that they’re called legendary Pokémon, but there are way more of them around than you’d expect.",Arcanine
155,A legendary Pokémon in the East. Many people are charmed by the grace and beauty of its running.,Arcanine
156,"The sight of it running over 6,200 miles in a single day and night has captivated many people.",Arcanine
157,A Pokémon that has long been admired for its beauty. It runs agilely as if on wings.,Arcanine
158,Its proud and regal appearance has captured the hearts of people since long ago.,Arcanine
159,A legendary bird POKéMON that is said to appear to doomed people who are lost in icy mountains.,Articuno
160,A legendary bird POKéMON. It freezes water that is contained in winter air and makes it snow.,Articuno
161,"The magnificent, seemingly translucent wings of this legendary bird POKéMON are said to be made of ice.",Articuno
162,"One of the legendary bird POKéMON, it chills moisture in the atmosphere to create snow while flying.",Articuno
163,"Legendary bird POKéMON. As it flies through the sky, it cools the air, causing snow to fall.",Articuno
164,"ARTICUNO is a legendary bird POKéMON that can control ice. The flapping of its wings chills the air. As a result, it is said that when this POKéMON flies, snow will fall.",Articuno
165,"One of the legendary bird POKéMON. With its long tail trailing behind, its flying form is magnificent.",Articuno
166,A legendary bird POKéMON that is said to appear to doomed people who are lost in icy mountains.,Articuno
167,A legendary bird Pokémon. It can create blizzards by freezing moisture in the air.,Articuno
168,"The magnificent, seemingly translucent wings of this legendary bird Pokémon are said to be made of ice.",Articuno
169,"One of the legendary bird Pokémon, it chills moisture in the atmosphere to create snow while flying.",Articuno
170,A legendary bird Pokémon. It can create blizzards by freezing moisture in the air.,Articuno
171,A legendary bird Pokémon. It can create blizzards by freezing moisture in the air.,Articuno
172,A legendary bird Pokémon that is said to appear to doomed people who are lost in icy mountains.,Articuno
173,"Articuno is a legendary bird Pokémon that can control ice. The flapping of its wings chills the air. As a result, it is said that when this Pokémon flies, snow will fall.",Articuno
174,A legendary bird Pokémon. It freezes water that is contained in winter air and makes it snow.,Articuno
175,"It’s said that this Pokémon’s beautiful blue wings are made of ice. Articuno flies over snowy mountains, its long tail fluttering along behind it.",Articuno
176,This Pokémon can control ice at will. Articuno is said to live in snowy mountains riddled with permafrost.,Articuno
177,This legendary bird Pokémon can create blizzards by freezing moisture in the air.,Articuno
178,Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.,Beedrill
179,It has 3 poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,Beedrill
180,It can take down any opponent with its powerful poison stingers. It sometimes attacks in swarms.,Beedrill
181,It has three poison barbs. The barb on its tail secretes the most powerful poison.,Beedrill
182,"It uses sharp, poisonous stings to defeat prey, then takes the victim back to its nest for food.",Beedrill
183,"BEEDRILL is extremely territorial. No one should ever approach its nest - this is for their own safety. If angered, they will attack in a furious swarm.",Beedrill
184,"May appear in a swarm. Flies at violent speeds, all the while stabbing with the toxic stinger on its rear.",Beedrill
185,It flies at high speed and attacks using the large venomous stingers on its forelegs and tail.,Beedrill
186,"A BEEDRILL is extremely territorial. For safety reasons, no one should ever approach its nest. If angered, they will attack in a swarm.",Beedrill
187,"Its best attack involves flying around at high speed, striking with poison needles, then flying off.",Beedrill
188,It can take down any opponent with its powerful poison stingers. It sometimes attacks in swarms.,Beedrill
189,It has three poison barbs. The barb on its tail secretes the most powerful poison.,Beedrill
190,"Its best attack involves flying around at high speed, striking with poison needles, then flying off.",Beedrill
191,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,Beedrill
192,"May appear in a swarm. Flies at violent speeds, all the while stabbing with the toxic stinger on its rear.",Beedrill
193,"Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.",Beedrill
194,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,Beedrill
195,"Its best attack involves flying around at high speed, striking with poison needles, then flying off.",Beedrill
196,A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture.,Bellsprout
197,Prefers hot and humid places. It ensnares tiny insects with its vines and devours them.,Bellsprout
198,"Even though its body is extremely skinny, it is blindingly fast when catching its prey.",Bellsprout
199,It plants its feet deep underground to replenish water. It can’t escape its enemy while it’s rooted.,Bellsprout
200,"If it notices anything that moves, it immediately flings its vine at the object.",Bellsprout
201,"BELLSPROUT’s thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this POKéMON spits a corrosive fluid that melts even iron.",Bellsprout
202,"Its bud looks like a human face. Because of the bud, it is rumored to be a type of legendary mandrake plant.",Bellsprout
203,A carnivorous POKéMON that traps and eats bugs. It appears to use its root feet to replenish moisture.,Bellsprout
204,"A BELLSPROUT’s thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, it leaks a fluid that melts even iron.",Bellsprout
205,It prefers hot and humid environments. It is quick at capturing prey with its vines.,Bellsprout
206,"Even though its body is extremely skinny, it is blindingly fast when catching its prey.",Bellsprout
207,It plants its feet deep underground to replenish water. It can’t escape its enemy while it’s rooted.,Bellsprout
208,It prefers hot and humid environments. It is quick at capturing prey with its vines.,Bellsprout
209,"Even though its body is extremely skinny, it is blindingly fast when catching its prey.",Bellsprout
210,"Its bud looks like a human face. Because of the bud, it is rumored to be a type of legendary mandrake plant.",Bellsprout
211,"Bellsprout’s thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.",Bellsprout
212,Prefers hot and humid places. It ensnares tiny bugs with its vines and devours them.,Bellsprout
213,It prefers hot and humid environments. It is quick at capturing prey with its vines.,Bellsprout
214,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,Blastoise
215,"Once it takes aim at its enemy, it blasts out water with even more force than a fire hose.",Blastoise
216,It deliberately makes itself heavy so it can withstand the recoil of the water jets it fires.,Blastoise
217,The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.,Blastoise
218,It firmly plants its feet on the ground before shooting water from the jets on its back.,Blastoise
219,BLASTOISE has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,Blastoise
220,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.",Blastoise
221,The pressurized water jets on this brutal POKéMON’s shell are used for high-speed tackles.,Blastoise
222,The waterspouts that protrude from its shell are highly accurate. Their bullets of water can precisely nail tin cans from a distance of over 160 feet.,Blastoise
223,The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.,Blastoise
224,It deliberately makes itself heavy so it can withstand the recoil of the water jets it fires.,Blastoise
225,The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.,Blastoise
226,The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.,Blastoise
227,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.",Blastoise
228,The pressurized water jets on this brutal Pokémon’s shell are used for high-speed tackles.,Blastoise
229,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,Blastoise
230,"Once it takes aim at its enemy, it blasts out water with even more force than a fire hose.",Blastoise
231,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.",Blastoise
232,The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.,Blastoise
233,The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.,Blastoise
234,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,Bulbasaur
235,"It can go for days without eating a single morsel. In the bulb on its back, it stores energy.",Bulbasaur
236,The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.,Bulbasaur
237,"It carries a seed on its back right from birth. As it grows older, the seed also grows larger.",Bulbasaur
238,"While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow.",Bulbasaur
239,"BULBASAUR can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.",Bulbasaur
240,There is a plant seed on its back right from the day this POKéMON is born. The seed slowly grows larger.,Bulbasaur
241,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,Bulbasaur
242,"For some time after its birth, it grows by gaining nourishment from the seed on its back.",Bulbasaur
243,The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.,Bulbasaur
244,"It carries a seed on its back right from birth. As it grows older, the seed also grows larger.",Bulbasaur
245,"For some time after its birth, it grows by gaining nourishment from the seed on its back.",Bulbasaur
246,A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.,Bulbasaur
247,"For some time after its birth, it grows by gaining nourishment from the seed on its back.",Bulbasaur
248,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.",Bulbasaur
249,"It can go for days without eating a single morsel. In the bulb on its back, it stores energy.",Bulbasaur
250,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.,Bulbasaur
251,"While it is young, it uses the nutrients that are stored in the seed on its back in order to grow.",Bulbasaur
252,"For some time after its birth, it grows by taking nourishment from the seed on its back.",Bulbasaur
253,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.",Butterfree
254,"Its wings, covered with poisonous powders, repel water. This allows it to fly in the rain.",Butterfree
255,It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.,Butterfree
256,"Water-repellent powder on its wings enables it to collect honey, even in the heaviest of rains.",Butterfree
257,"It flits from flower to flower, collecting honey. It can even identify distant flowers in bloom.",Butterfree
258,"BUTTERFREE has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.",Butterfree
259,"The wings are protected by rain-repellent dust. As a result, this POKéMON can fly about even in rain.",Butterfree
260,"In battle, it flaps its wings at great speed to release highly toxic dust into the air.",Butterfree
261,"It has a superior ability to search for delicious honey from flowers. It can seek, extract, and carry honey from flowers blooming over six miles away.",Butterfree
262,It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.,Butterfree
263,It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.,Butterfree
264,"Water-repellent powder on its wings enables it to collect honey, even in the heaviest of rains.",Butterfree
265,It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.,Butterfree
266,It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.,Butterfree
267,"The wings are protected by rain-repellent dust. As a result, this Pokémon can fly about even in rain.",Butterfree
268,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.",Butterfree
269,Close examination of its large eyes reveals that each eye is composed of a myriad of tiny eyes.,Butterfree
270,"When attacked by other Pokémon, it defends itself by scattering its poisonous scales and fluttering its wings.",Butterfree
271,"Its wings are covered in toxic scales. If it finds bird Pokémon going after Caterpie, Butterfree sprinkles its scales on them to drive them off.",Butterfree
272,"Nectar from pretty flowers is its favorite food. In fields of flowers, it has heated battles with Cutiefly for territory.",Butterfree
273,"Its wings, covered with poisonous powder, repel water. This allows it to fly in the rain.",Butterfree
274,"In battle, it flaps its wings at great speed to release highly toxic dust into the air.",Butterfree
275,It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.,Butterfree
276,It loves the nectar of flowers and can locate flower patches that have even tiny amounts of pollen.,Butterfree
277,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,Caterpie
278,"If you touch the feeler on top of its head, it will release a horrible stink to protect itself.",Caterpie
279,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies.",Caterpie
280,Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage.,Caterpie
281,It crawls into foliage where it camouflages itself among leaves that are the same color as its body.,Caterpie
282,"CATERPIE has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this POKéMON releases a terrifically strong odor.",Caterpie
283,"It is covered with a green skin. When it grows, it sheds the skin, covers itself with silk, and becomes a cocoon.",Caterpie
284,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,Caterpie
285,Its voracious appetite compels it to devour leaves bigger than itself without hesitation. It releases a terribly strong odor from its antennae.,Caterpie
286,It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly.,Caterpie
287,"For protection, it releases a horrible stench from the antennae on its head to drive away enemies.",Caterpie
288,Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage.,Caterpie
289,It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly.,Caterpie
290,"For protection, it releases a horrible stench from the antennae on its head to drive away enemies.",Caterpie
291,Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage.,Caterpie
292,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.",Caterpie
293,"When attacked by bird Pokémon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey.",Caterpie
294,"It’s easy to catch, and it grows quickly, making it one of the top recommendations for novice Pokémon Trainers.",Caterpie
295,"Perhaps because it would like to grow up quickly, it has a voracious appetite, eating a hundred leaves a day.",Caterpie
296,"Its body is soft and weak. In nature, its perpetual fate is to be seen by others as food.",Caterpie
297,"If you touch the feeler on top of its head, it will release a horrible stink to protect itself.",Caterpie
298,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies.",Caterpie
