id,dex_id,name,image,primary_type,secondary_type,is_mega
84,63,Abra,https://projectpokemon.org/images/normal-sprite/abra.gif,Psychic,NULL,0
85,64,Kadabra,https://projectpokemon.org/images/normal-sprite/kadabra.gif,Psychic,NULL,0
86,65,Alakazam,https://projectpokemon.org/images/normal-sprite/alakazam.gif,Psychic,NULL,0
87,65,Mega Alakazam,,Psychic,NULL,1
88,66,Machop,https://projectpokemon.org/images/normal-sprite/machop.gif,Fighting,NULL,0
89,67,Machoke,https://projectpokemon.org/images/normal-sprite/machoke.gif,Fighting,NULL,0
90,68,Machamp,https://projectpokemon.org/images/normal-sprite/machamp.gif,Fighting,NULL,0
91,69,Bellsprout,https://projectpokemon.org/images/normal-sprite/bellsprout.gif,Grass,Poison,0
92,70,Weepinbell,https://projectpokemon.org/images/normal-sprite/weepinbell.gif,Grass,Poison,0
93,71,Victreebel,https://projectpokemon.org/images/normal-sprite/victreebel.gif,Grass,Poison,0
94,72,Tentacool,https://projectpokemon.org/images/normal-sprite/tentacool.gif,Water,Poison,0
95,73,Tentacruel,https://projectpokemon.org/images/normal-sprite/tentacruel.gif,Water,Poison,0
96,74,Geodude,https://projectpokemon.org/images/normal-sprite/geodude.gif,Rock,Ground,0
97,74,Alolan Geodude,,Rock,Electric,1
98,75,Graveler,https://projectpokemon.org/images/normal-sprite/graveler.gif,Rock,Ground,0
99,75,Alolan Graveler,,Rock,Electric,1
100,76,Golem,https://projectpokemon.org/images/normal-sprite/golem.gif,Rock,Ground,0
101,76,Alolan Golem,,Rock,Electric,1
102,77,Ponyta,https://projectpokemon.org/images/normal-sprite/ponyta.gif,Fire,NULL,0
103,77,Galarian Ponyta,,Psychic,NULL,1
104,78,Rapidash,https://projectpokemon.org/images/normal-sprite/rapidash.gif,Fire,NULL,0
105,78,Galarian Rapidash,,Psychic,Fairy,1
106,79,Slowpoke,https://projectpokemon.org/images/normal-sprite/slowpoke.gif,Water,Psychic,0
107,79,Galarian Slowpoke,,Psychic,NULL,1
108,80,Slowbro,https://projectpokemon.org/images/normal-sprite/slowbro.gif,Water,Psychic,0
109,80,Mega Slowbro,,Water,Psychic,1
110,80,Galarian Slowbro,,Poison,Psychic,1
111,81,Magnemite,https://projectpokemon.org/images/normal-sprite/magnemite.gif,Electric,Steel,0
112,82,Magneton,https://projectpokemon.org/images/normal-sprite/magneton.gif,Electric,Steel,0
113,83,Farfetch'd,https://projectpokemon.org/images/normal-sprite/farfetchd.gif,Normal,Flying,0
114,83,Galarian Farfetch'd,,Fighting,NULL,1
115,84,Doduo,https://projectpokemon.org/images/normal-sprite/doduo.gif,Normal,Flying,0
116,85,Dodrio,https://projectpokemon.org/images/normal-sprite/dodrio.gif,Normal,Flying,0
117,86,Seel,https://projectpokemon.org/images/normal-sprite/seel.gif,Water,NULL,0
118,87,Dewgong,https://projectpokemon.org/images/normal-sprite/dewgong.gif,Water,Ice,0
119,88,Grimer,https://projectpokemon.org/images/normal-sprite/grimer.gif,Poison,NULL,0
120,88,Alolan Grimer,,Poison,Dark,1
121,89,Muk,https://projectpokemon.org/images/normal-sprite/muk.gif,Poison,NULL,0
122,89,Alolan Muk,,Poison,Dark,1
123,90,Shellder,https://projectpokemon.org/images/normal-sprite/shellder.gif,Water,NULL,0
124,91,Cloyster,https://projectpokemon.org/images/normal-sprite/cloyster.gif,Water,Ice,0
125,92,Gastly,https://projectpokemon.org/images/normal-sprite/gastly.gif,Ghost,Poison,0
126,93,Haunter,https://projectpokemon.org/images/normal-sprite/haunter.gif,Ghost,Poison,0
127,94,Gengar,https://projectpokemon.org/images/normal-sprite/gengar.gif,Ghost,Poison,0
128,94,Mega Gengar,,Ghost,Poison,1
129,95,Onix,https://projectpokemon.org/images/normal-sprite/onix.gif,Rock,Ground,0
130,96,Drowzee,https://projectpokemon.org/images/normal-sprite/drowzee.gif,Psychic,NULL,0
131,97,Hypno,https://projectpokemon.org/images/normal-sprite/hypno.gif,Psychic,NULL,0
132,98,Krabby,https://projectpokemon.org/images/normal-sprite/krabby.gif,Water,NULL,0
133,99,Kingler,https://projectpokemon.org/images/normal-sprite/kingler.gif,Water,NULL,0
134,100,Voltorb,https://projectpokemon.org/images/normal-sprite/voltorb.gif,Electric,NULL,0
135,100,Hisuian Voltorb,,Electric,Grass,1
136,101,Electrode,https://projectpokemon.org/images/normal-sprite/electrode.gif,Electric,NULL,0
137,101,Hisuian Electrode,,Electric,Grass,1
138,102,Exeggcute,https://projectpokemon.org/images/normal-sprite/exeggcute.gif,Grass,Psychic,0
139,103,Exeggutor,https://projectpokemon.org/images/normal-sprite/exeggutor.gif,Grass,Psychic,0
140,103,Alolan Exeggutor,,Grass,Dragon,1
141,104,Cubone,https://projectpokemon.org/images/normal-sprite/cubone.gif,Ground,NULL,0
142,105,Marowak,https://projectpokemon.org/images/normal-sprite/marowak.gif,Ground,NULL,0
143,105,Alolan Marowak,,Fire,Ghost,1
144,106,Hitmonlee,https://projectpokemon.org/images/normal-sprite/hitmonlee.gif,Fighting,NULL,0
145,107,Hitmonchan,https://projectpokemon.org/images/normal-sprite/hitmonchan.gif,Fighting,NULL,0
146,108,Lickitung,https://projectpokemon.org/images/normal-sprite/lickitung.gif,Normal,NULL,0
147,109,Koffing,https://projectpokemon.org/images/normal-sprite/koffing.gif,Poison,NULL,0
148,110,Weezing,https://projectpokemon.org/images/normal-sprite/weezing.gif,Poison,NULL,0
149,110,Galarian Weezing,,Poison,Fairy,1
150,111,Rhyhorn,https://projectpokemon.org/images/normal-sprite/rhyhorn.gif,Ground,Rock,0
151,112,Rhydon,https://projectpokemon.org/images/normal-sprite/rhydon.gif,Ground,Rock,0
152,113,Chansey,https://projectpokemon.org/images/normal-sprite/chansey.gif,Normal,NULL,0
153,114,Tangela,https://projectpokemon.org/images/normal-sprite/tangela.gif,Grass,NULL,0
154,115,Kangaskhan,https://projectpokemon.org/images/normal-sprite/kangaskhan.gif,Normal,NULL,0
155,115,Mega Kangaskhan,,Normal,NULL,1
156,116,Horsea,https://projectpokemon.org/images/normal-sprite/horsea.gif,Water,NULL,0
157,117,Seadra,https://projectpokemon.org/images/normal-sprite/seadra.gif,Water,NULL,0
158,118,Goldeen,https://projectpokemon.org/images/normal-sprite/goldeen.gif,Water,NULL,0
159,119,Seaking,https://projectpokemon.org/images/normal-sprite/seaking.gif,Water,NULL,0
160,120,Staryu,https://projectpokemon.org/images/normal-sprite/staryu.gif,Water,NULL,0
161,121,Starmie,https://projectpokemon.org/images/normal-sprite/starmie.gif,Water,Psychic,0
162,122,Mr. Mime,https://projectpokemon.org/images/normal-sprite/mr.mime.gif,Psychic,Fairy,0
163,122,Galarian Mr. Mime,,Ice,Psychic,1
164,123,Scyther,https://projectpokemon.org/images/normal-sprite/scyther.gif,Bug,Flying,0
165,124,Jynx,https://projectpokemon.org/images/normal-sprite/jynx.gif,Ice,Psychic,0
166,125,Electabuzz,https://projectpokemon.org/images/normal-sprite/electabuzz.gif,Electric,NULL,0
167,126,Magmar,https://projectpokemon.org/images/normal-sprite/magmar.gif,Fire,NULL,0
168,127,Pinsir,https://projectpokemon.org/images/normal-sprite/pinsir.gif,Bug,NULL,0
169,127,Mega Pinsir,,Bug,Flying,1
170,128,Tauros,https://projectpokemon.org/images/normal-sprite/tauros.gif,Normal,NULL,0
171,129,Magikarp,https://projectpokemon.org/images/normal-sprite/magikarp.gif,Water,NULL,0
172,130,Gyarados,https://projectpokemon.org/images/normal-sprite/gyarados.gif,Water,Flying,0
173,130,Mega Gyarados,,Water,Dark,1
174,131,Lapras,https://projectpokemon.org/images/normal-sprite/lapras.gif,Water,Ice,0
175,132,Ditto,https://projectpokemon.org/images/normal-sprite/ditto.gif,Normal,NULL,0
176,133,Eevee,https://projectpokemon.org/images/normal-sprite/eevee.gif,Normal,NULL,0
177,133,Partner Eevee,,Normal,NULL,1
178,134,Vaporeon,https://projectpokemon.org/images/normal-sprite/vaporeon.gif,Water,NULL,0
179,135,Jolteon,https://projectpokemon.org/images/normal-sprite/jolteon.gif,Electric,NULL,0
180,136,Flareon,https://projectpokemon.org/images/normal-sprite/flareon.gif,Fire,NULL,0
181,137,Porygon,https://projectpokemon.org/images/normal-sprite/porygon.gif,Normal,NULL,0
182,138,Omanyte,https://projectpokemon.org/images/normal-sprite/omanyte.gif,Rock,Water,0
183,139,Omastar,https://projectpokemon.org/images/normal-sprite/omastar.gif,Rock,Water,0
184,140,Kabuto,https://projectpokemon.org/images/normal-sprite/kabuto.gif,Rock,Water,0
185,141,Kabutops,https://projectpokemon.org/images/normal-sprite/kabutops.gif,Rock,Water,0
186,142,Aerodactyl,https://projectpokemon.org/images/normal-sprite/aerodactyl.gif,Rock,Flying,0
187,142,Mega Aerodactyl,,Rock,Flying,1
188,143,Snorlax,https://projectpokemon.org/images/normal-sprite/snorlax.gif,Normal,NULL,0
189,144,Articuno,https://projectpokemon.org/images/normal-sprite/articuno.gif,Ice,Flying,0
190,144,Galarian Articuno,,Psychic,Flying,1
191,145,Zapdos,https://projectpokemon.org/images/normal-sprite/zapdos.gif,Electric,Flying,0
192,145,Galarian Zapdos,,Fighting,Flying,1
193,146,Moltres,https://projectpokemon.org/images/normal-sprite/moltres.gif,Fire,Flying,0
194,146,Galarian Moltres,,Dark,Flying,1
195,147,Dratini,https://projectpokemon.org/images/normal-sprite/dratini.gif,Dragon,NULL,0
196,148,Dragonair,https://projectpokemon.org/images/normal-sprite/dragonair.gif,Dragon,NULL,0
197,149,Dragonite,https://projectpokemon.org/images/normal-sprite/dragonite.gif,Dragon,Flying,0
198,150,Mewtwo,https://projectpokemon.org/images/normal-sprite/mewtwo.gif,Psychic,NULL,0
199,150,Mega Mewtwo X,,Psychic,Fighting,1
200,150,Mega Mewtwo Y,,Psychic,NULL,1
201,151,Mew,https://projectpokemon.org/images/normal-sprite/mew.gif,Psychic,NULL,0
202,152,Chikorita,,Grass,NULL,0
203,153,Bayleef,,Grass,NULL,0
204,154,Meganium,,Grass,NULL,0
205,155,Cyndaquil,,Fire,NULL,0
206,156,Quilava,,Fire,NULL,0
207,157,Typhlosion,,Fire,NULL,0
208,157,Hisuian Typhlosion,,Fire,Ghost,1
209,158,Totodile,,Water,NULL,0
210,159,Croconaw,,Water,NULL,0
211,160,Feraligatr,,Water,NULL,0
212,161,Sentret,,Normal,NULL,0
213,162,Furret,,Normal,NULL,0
214,163,Hoothoot,,Normal,Flying,0
215,164,Noctowl,,Normal,Flying,0
216,165,Ledyba,,Bug,Flying,0
217,166,Ledian,,Bug,Flying,0
218,167,Spinarak,,Bug,Poison,0
219,168,Ariados,,Bug,Poison,0
220,169,Crobat,,Poison,Flying,0
221,170,Chinchou,,Water,Electric,0
222,171,Lanturn,,Water,Electric,0
223,172,Pichu,,Electric,NULL,0
224,173,Cleffa,,Fairy,NULL,0
225,174,Igglybuff,,Normal,Fairy,0
226,175,Togepi,,Fairy,NULL,0
227,176,Togetic,,Fairy,Flying,0
228,177,Natu,,Psychic,Flying,0
229,178,Xatu,,Psychic,Flying,0
230,179,Mareep,,Electric,NULL,0
231,180,Flaaffy,,Electric,NULL,0
232,181,Ampharos,,Electric,NULL,0
233,181,Mega Ampharos,,Electric,Dragon,1
234,182,Bellossom,,Grass,NULL,0
235,183,Marill,,Water,Fairy,0
236,184,Azumarill,,Water,Fairy,0
237,185,Sudowoodo,,Rock,NULL,0
238,186,Politoed,,Water,NULL,0
239,187,Hoppip,,Grass,Flying,0
240,188,Skiploom,,Grass,Flying,0
241,189,Jumpluff,,Grass,Flying,0
242,190,Aipom,,Normal,NULL,0
243,191,Sunkern,,Grass,NULL,0
244,192,Sunflora,,Grass,NULL,0
245,193,Yanma,,Bug,Flying,0
246,194,Wooper,,Water,Ground,0
247,195,Quagsire,,Water,Ground,0
248,196,Espeon,,Psychic,NULL,0
249,197,Umbreon,,Dark,NULL,0
250,198,Murkrow,,Dark,Flying,0
251,199,Slowking,,Water,Psychic,0
252,199,Galarian Slowking,,Poison,Psychic,1
253,200,Misdreavus,,Ghost,NULL,0
254,201,Unown,,Psychic,NULL,0
255,202,Wobbuffet,,Psychic,NULL,0
256,203,Girafarig,,Normal,Psychic,0
257,204,Pineco,,Bug,NULL,0
258,205,Forretress,,Bug,Steel,0
259,206,Dunsparce,,Normal,NULL,0
260,207,Gligar,,Ground,Flying,0
261,208,Steelix,,Steel,Ground,0
262,208,Mega Steelix,,Steel,Ground,1
263,209,Snubbull,,Fairy,NULL,0
264,210,Granbull,,Fairy,NULL,0
265,211,Qwilfish,,Water,Poison,0
266,211,Hisuian Qwilfish,,Dark,Poison,1
267,212,Scizor,,Bug,Steel,0
268,212,Mega Scizor,,Bug,Steel,1
269,213,Shuckle,,Bug,Rock,0
270,214,Heracross,,Bug,Fighting,0
271,214,Mega Heracross,,Bug,Fighting,1
272,215,Sneasel,,Dark,Ice,0
273,215,Hisuian Sneasel,,Poison,Fighting,1
274,216,Teddiursa,,Normal,NULL,0
275,217,Ursaring,,Normal,NULL,0
276,218,Slugma,,Fire,NULL,0
277,219,Magcargo,,Fire,Rock,0
278,220,Swinub,,Ice,Ground,0
279,221,Piloswine,,Ice,Ground,0
280,222,Corsola,,Water,Rock,0
281,222,Galarian Corsola,,Ghost,NULL,1
282,223,Remoraid,,Water,NULL,0
283,224,Octillery,,Water,NULL,0
284,225,Delibird,,Ice,Flying,0
285,226,Mantine,,Water,Flying,0
286,227,Skarmory,,Steel,Flying,0
287,228,Houndour,,Dark,Fire,0
288,229,Houndoom,,Dark,Fire,0
289,229,Mega Houndoom,,Dark,Fire,1
290,230,Kingdra,,Water,Dragon,0
291,231,Phanpy,,Ground,NULL,0
292,232,Donphan,,Ground,NULL,0
293,233,Porygon2,,Normal,NULL,0
294,234,Stantler,,Normal,NULL,0
295,235,Smeargle,,Normal,NULL,0
296,236,Tyrogue,,Fighting,NULL,0
297,237,Hitmontop,,Fighting,NULL,0
298,238,Smoochum,,Ice,Psychic,0
299,239,Elekid,,Electric,NULL,0
300,240,Magby,,Fire,NULL,0
301,241,Miltank,,Normal,NULL,0
302,242,Blissey,,Normal,NULL,0
303,243,Raikou,,Electric,NULL,0
304,244,Entei,,Fire,NULL,0
305,245,Suicune,,Water,NULL,0
306,246,Larvitar,,Rock,Ground,0
307,247,Pupitar,,Rock,Ground,0
308,248,Tyranitar,,Rock,Dark,0
309,248,Mega Tyranitar,,Rock,Dark,1
310,249,Lugia,,Psychic,Flying,0
311,250,Ho-oh,,Fire,Flying,0
312,251,Celebi,,Psychic,Grass,0
313,252,Treecko,,Grass,NULL,0
314,253,Grovyle,,Grass,NULL,0
315,254,Sceptile,,Grass,NULL,0
316,254,Mega Sceptile,,Grass,Dragon,1
317,255,Torchic,,Fire,NULL,0
318,256,Combusken,,Fire,Fighting,0
319,257,Blaziken,,Fire,Fighting,0
320,257,Mega Blaziken,,Fire,Fighting,1
321,258,Mudkip,,Water,NULL,0
322,259,Marshtomp,,Water,Ground,0
323,260,Swampert,,Water,Ground,0
324,260,Mega Swampert,,Water,Ground,1
325,261,Poochyena,,Dark,NULL,0
326,262,Mightyena,,Dark,NULL,0
327,263,Zigzagoon,,Normal,NULL,0
328,263,Galarian Zigzagoon,,Dark,Normal,1
329,264,Linoone,,Normal,NULL,0
330,264,Galarian Linoone,,Dark,Normal,1
331,265,Wurmple,,Bug,NULL,0
332,266,Silcoon,,Bug,NULL,0
333,267,Beautifly,,Bug,Flying,0
334,268,Cascoon,,Bug,NULL,0
335,269,Dustox,,Bug,Poison,0
336,270,Lotad,,Water,Grass,0
337,271,Lombre,,Water,Grass,0
338,272,Ludicolo,,Water,Grass,0
339,273,Seedot,,Grass,NULL,0
340,274,Nuzleaf,,Grass,Dark,0
341,275,Shiftry,,Grass,Dark,0
342,276,Taillow,,Normal,Flying,0
343,277,Swellow,,Normal,Flying,0
344,278,Wingull,,Water,Flying,0
345,279,Pelipper,,Water,Flying,0
346,280,Ralts,,Psychic,Fairy,0
347,281,Kirlia,,Psychic,Fairy,0
348,282,Gardevoir,,Psychic,Fairy,0
349,282,Mega Gardevoir,,Psychic,Fairy,1
350,283,Surskit,,Bug,Water,0
351,284,Masquerain,,Bug,Flying,0
352,285,Shroomish,,Grass,NULL,0
353,286,Breloom,,Grass,Fighting,0
354,287,Slakoth,,Normal,NULL,0
355,288,Vigoroth,,Normal,NULL,0
356,289,Slaking,,Normal,NULL,0
357,290,Nincada,,Bug,Ground,0
358,291,Ninjask,,Bug,Flying,0
359,292,Shedinja,,Bug,Ghost,0
360,293,Whismur,,Normal,NULL,0
361,294,Loudred,,Normal,NULL,0
362,295,Exploud,,Normal,NULL,0
363,296,Makuhita,,Fighting,NULL,0
364,297,Hariyama,,Fighting,NULL,0
365,298,Azurill,,Normal,Fairy,0
366,299,Nosepass,,Rock,NULL,0
367,300,Skitty,,Normal,NULL,0
368,301,Delcatty,,Normal,NULL,0
369,302,Sableye,,Dark,Ghost,0
370,302,Mega Sableye,,Dark,Ghost,1
371,303,Mawile,,Steel,Fairy,0
372,303,Mega Mawile,,Steel,Fairy,1
373,304,Aron,,Steel,Rock,0
374,305,Lairon,,Steel,Rock,0
375,306,Aggron,,Steel,Rock,0
376,306,Mega Aggron,,Steel,NULL,1
377,307,Meditite,,Fighting,Psychic,0
378,308,Medicham,,Fighting,Psychic,0
379,308,Mega Medicham,,Fighting,Psychic,1
380,309,Electrike,,Electric,NULL,0
381,310,Manectric,,Electric,NULL,0
382,310,Mega Manectric,,Electric,NULL,1
383,311,Plusle,,Electric,NULL,0
384,312,Minun,,Electric,NULL,0
385,313,Volbeat,,Bug,NULL,0
386,314,Illumise,,Bug,NULL,0
387,315,Roselia,,Grass,Poison,0
388,316,Gulpin,,Poison,NULL,0
389,317,Swalot,,Poison,NULL,0
390,318,Carvanha,,Water,Dark,0
391,319,Sharpedo,,Water,Dark,0
392,319,Mega Sharpedo,,Water,Dark,1
393,320,Wailmer,,Water,NULL,0
394,321,Wailord,,Water,NULL,0
395,322,Numel,,Fire,Ground,0
396,323,Camerupt,,Fire,Ground,0
397,323,Mega Camerupt,,Fire,Ground,1
398,324,Torkoal,,Fire,NULL,0
399,325,Spoink,,Psychic,NULL,0
400,326,Grumpig,,Psychic,NULL,0
401,327,Spinda,,Normal,NULL,0
402,328,Trapinch,,Ground,NULL,0
403,329,Vibrava,,Ground,Dragon,0
404,330,Flygon,,Ground,Dragon,0
405,331,Cacnea,,Grass,NULL,0
406,332,Cacturne,,Grass,Dark,0
407,333,Swablu,,Normal,Flying,0
408,334,Altaria,,Dragon,Flying,0
409,334,Mega Altaria,,Dragon,Fairy,1
410,335,Zangoose,,Normal,NULL,0
411,336,Seviper,,Poison,NULL,0
412,337,Lunatone,,Rock,Psychic,0
413,338,Solrock,,Rock,Psychic,0
414,339,Barboach,,Water,Ground,0
415,340,Whiscash,,Water,Ground,0
416,341,Corphish,,Water,NULL,0
417,342,Crawdaunt,,Water,Dark,0
418,343,Baltoy,,Ground,Psychic,0
419,344,Claydol,,Ground,Psychic,0
420,345,Lileep,,Rock,Grass,0
421,346,Cradily,,Rock,Grass,0
422,347,Anorith,,Rock,Bug,0
423,348,Armaldo,,Rock,Bug,0
424,349,Feebas,,Water,NULL,0
425,350,Milotic,,Water,NULL,0
426,351,Castform,,Normal,NULL,0
427,351,Sunny Form,,Fire,NULL,1
428,351,Rainy Form,,Water,NULL,1
429,351,Snowy Form,,Ice,NULL,1
430,352,Kecleon,,Normal,NULL,0
431,353,Shuppet,,Ghost,NULL,0
432,354,Banette,,Ghost,NULL,0
433,354,Mega Banette,,Ghost,NULL,1
434,355,Duskull,,Ghost,NULL,0
435,356,Dusclops,,Ghost,NULL,0
436,357,Tropius,,Grass,Flying,0
437,358,Chimecho,,Psychic,NULL,0
438,359,Absol,,Dark,NULL,0
439,359,Mega Absol,,Dark,NULL,1
440,360,Wynaut,,Psychic,NULL,0
441,361,Snorunt,,Ice,NULL,0
442,362,Glalie,,Ice,NULL,0
443,362,Mega Glalie,,Ice,NULL,1
444,363,Spheal,,Ice,Water,0
445,364,Sealeo,,Ice,Water,0
446,365,Walrein,,Ice,Water,0
447,366,Clamperl,,Water,NULL,0
448,367,Huntail,,Water,NULL,0
449,368,Gorebyss,,Water,NULL,0
450,369,Relicanth,,Water,Rock,0
451,370,Luvdisc,,Water,NULL,0
452,371,Bagon,,Dragon,NULL,0
453,372,Shelgon,,Dragon,NULL,0
454,373,Salamence,,Dragon,Flying,0
455,373,Mega Salamence,,Dragon,Flying,1
456,374,Beldum,,Steel,Psychic,0
457,375,Metang,,Steel,Psychic,0
458,376,Metagross,,Steel,Psychic,0
459,376,Mega Metagross,,Steel,Psychic,1
460,377,Regirock,,Rock,NULL,0
461,378,Regice,,Ice,NULL,0
462,379,Registeel,,Steel,NULL,0
